id = 128
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy = 5.55
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Spin Difference Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errornormalization = 0.042
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.1
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XLU
#
#xB       Q2     t     phi     XLU   stat
###########################################################
table =
0.357 1.98 -0.182 7.5 0.828 6.7
0.357 1.98 -0.182 22.5 0.566 6.5
0.357 1.98 -0.182 37.5 10.2 6.2
0.357 1.98 -0.182 52.5 15.6 6.0
0.357 1.98 -0.182 67.5 13.2 5.8
0.357 1.98 -0.182 82.5 11.3 5.4
0.357 1.98 -0.182 97.5 11.5 5.0
0.357 1.98 -0.182 112.5 -2.53 4.7
0.357 1.98 -0.182 127.5 11.5 4.5
0.357 1.98 -0.182 142.5 0.268 4.2
0.357 1.98 -0.182 157.5 6.02 4.1
0.357 1.98 -0.182 172.5 1.77 4.1
0.357 1.98 -0.182 187.5 4.2 4.1
0.357 1.98 -0.182 202.5 -0.843 4.1
0.357 1.98 -0.182 217.5 -4.76 4.3
0.357 1.98 -0.182 232.5 -2.46 4.6
0.357 1.98 -0.182 247.5 -4.72 4.8
0.357 1.98 -0.182 262.5 -12.5 5.2
0.357 1.98 -0.182 277.5 -12.1 5.5
 0.357 1.98 -0.182 292.5 -15.3 5.8
0.357 1.98 -0.182 307.5 -11.9 6.1
0.357 1.98 -0.182 322.5 -12.3 6.3
0.357 1.98 -0.182 337.5 -2.83 6.4
0.357 1.98 -0.182 352.5 -1.44 6.6
0.356 1.98 -0.242 7.5 6.72 6.9
0.356 1.98 -0.242 22.5 16 6.6
0.356 1.98 -0.242 37.5 -3.8 6.0
0.356 1.98 -0.242 52.5 17.3 5.5
0.356 1.98 -0.242 67.5 19.5 5.0
0.356 1.98 -0.242 82.5 13.1 4.6
0.356 1.98 -0.242 97.5 9.78 4.2
0.356 1.98 -0.242 112.5 11.6 4.0
0.356 1.98 -0.242 127.5 0.977 3.8
0.356 1.98 -0.242 142.5 5.91 3.7
0.356 1.98 -0.242 157.5 -0.00437 3.7
0.356 1.98 -0.242 172.5 2 3.7
0.356 1.98 -0.242 187.5 -0.931 3.7
0.356 1.98 -0.242 202.5 -4.03 3.8
0.356 1.98 -0.242 217.5 -1.03 3.8
0.356 1.98 -0.242 232.5 -1.84 3.9
0.356 1.98 -0.242 247.5 -11.7 4.1
0.356 1.98 -0.242 262.5 -14.6 4.4
0.356 1.98 -0.242 277.5 -7.68 4.7
0.356 1.98 -0.242 292.5 -5.72 5.2
0.356 1.98 -0.242 307.5 -18.6 5.7
0.356 1.98 -0.242 322.5 -9.48 6.2
0.356 1.98 -0.242 337.5 0.504 6.6
0.356 1.98 -0.242 352.5 10.9 6.9
0.356 1.98 -0.302 7.5 -3.24 7.3
0.356 1.98 -0.302 22.5 9.2 6.7
0.356 1.98 -0.302 37.5 1.92 6.0
0.356 1.98 -0.302 52.5 13.3 5.2
0.356 1.98 -0.302 67.5 12.6 4.6
0.356 1.98 -0.302 82.5 7.95 4.2
0.356 1.98 -0.302 97.5 6.16 3.9
0.356 1.98 -0.302 112.5 7.38 3.5
0.356 1.98 -0.302 127.5 3.99 3.4
0.356 1.98 -0.302 142.5 4.51 3.5
0.356 1.98 -0.302 157.5 0.998 3.5
0.356 1.98 -0.302 172.5 -1.11 3.6
0.356 1.98 -0.302 187.5 -0.779 3.6
0.356 1.98 -0.302 202.5 4.9 3.6
0.356 1.98 -0.302 217.5 -3.06 3.5
0.356 1.98 -0.302 232.5 -3.38 3.5
0.356 1.98 -0.302 247.5 -3.57 3.7
0.356 1.98 -0.302 262.5 -10.5 4.0
0.356 1.98 -0.302 277.5 -8.23 4.4
0.356 1.98 -0.302 292.5 -12.3 4.9
0.356 1.98 -0.302 307.5 -7.9 5.4
0.356 1.98 -0.302 322.5 -10.3 6.1
0.356 1.98 -0.302 337.5 -9.68 6.7
0.356 1.98 -0.302 352.5 -13.6 7.2
0.358 1.99 -0.363 7.5 2.7 7.6
0.358 1.99 -0.363 22.5 2.72 6.9
0.358 1.99 -0.363 37.5 7.98 5.7
0.358 1.99 -0.363 52.5 17.0 4.9
0.358 1.99 -0.363 67.5 9.92 4.3
0.358 1.99 -0.363 82.5 6.43 3.8
0.358 1.99 -0.363 97.5 3.23 3.6
0.358 1.99 -0.363 112.5 3.78 3.3
0.358 1.99 -0.363 127.5 2.06 3.3
0.358 1.99 -0.363 142.5 2.29 3.3
0.358 1.99 -0.363 157.5 0.842 3.4
0.358 1.99 -0.363 172.5 -3.16 3.6
0.358 1.99 -0.363 187.5 -5.63 3.5
0.358 1.99 -0.363 202.5 0.779 3.5
0.358 1.99 -0.363 217.5 -2.43 3.4
0.358 1.99 -0.363 232.5 0.67 3.3
0.358 1.99 -0.363 247.5 -5.12 3.5
0.358 1.99 -0.363 262.5 -5.6 3.7
0.358 1.99 -0.363 277.5 -4.73 4.1
0.358 1.99 -0.363 292.5 -3.8 4.5
0.358 1.99 -0.363 307.5 -13.5 5.1
0.358 1.99 -0.363 322.5 -6.87 5.9
0.358 1.99 -0.363 337.5 -11.1 6.8
0.358 1.99 -0.363 352.5 -9.64 7.6


