id = 126
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy = 5.55
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Spin Difference Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errornormalization = 0.042
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.1
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XLU
#
#xB       Q2     t     phi     XLU   stat
###########################################################
table =
0.359 1.74 -0.183 7.5 4.57 4.2
0.359 1.74 -0.183 22.5 8.2 4.2
0.359 1.74 -0.183 37.5 1.77 4.1
0.359 1.74 -0.183 52.5 9.9 4.0
0.359 1.74 -0.183 67.5 7.99 3.7
0.359 1.74 -0.183 82.5 9.43 3.6
0.359 1.74 -0.183 97.5 5.07 3.3
0.359 1.74 -0.183 112.5 2.81 3.2
0.359 1.74 -0.183 127.5 4.15 3.0
0.359 1.74 -0.183 142.5 -2.43 2.9
0.359 1.74 -0.183 157.5 0.722 2.9
0.359 1.74 -0.183 172.5 -1.96 2.8
0.359 1.74 -0.183 187.5 0.206 2.9
0.359 1.74 -0.183 202.5 -4.09 2.9
0.359 1.74 -0.183 217.5 -1.32 3.0
0.359 1.74 -0.183 232.5 -5.58 3.1
0.359 1.74 -0.183 247.5 -3.1 3.2
0.359 1.74 -0.183 262.5 -4.68 3.4
0.359 1.74 -0.183 277.5 -10.8 3.6
0.359 1.74 -0.183 292.5 -18.5 3.8
0.359 1.74 -0.183 307.5 -9.7 3.9
0.359 1.74 -0.183 322.5 -8.34 4.1
0.359 1.74 -0.183 337.5 -4.23 4.2
0.359 1.74 -0.183 352.5 4.3 4.3
0.359 1.74 -0.242 7.5 3.81 4.3
0.359 1.74 -0.242 22.5 10.6 4.2
0.359 1.74 -0.242 37.5 13.8 4.0
0.359 1.74 -0.242 52.5 11.7 3.7
0.359 1.74 -0.242 67.5 14.7 3.4
0.359 1.74 -0.242 82.5 6.78 3.2
0.359 1.74 -0.242 97.5 7.28 3.0
0.359 1.74 -0.242 112.5 4.83 2.9
0.359 1.74 -0.242 127.5 4.88 2.8
0.359 1.74 -0.242 142.5 5.6 2.7
0.359 1.74 -0.242 157.5 7.38 2.8
0.359 1.74 -0.242 172.5 0.7 2.8
0.359 1.74 -0.242 187.5 2.44 2.9
0.359 1.74 -0.242 202.5 -4.28 2.9
0.359 1.74 -0.242 217.5 -4.68 2.8
0.359 1.74 -0.242 232.5 -5.86 2.8
0.359 1.74 -0.242 247.5 -3.89 2.9
0.359 1.74 -0.242 262.5 -4.57 3.1
0.359 1.74 -0.242 277.5 -6.2 3.3
0.359 1.74 -0.242 292.5 -16.1 3.5
0.359 1.74 -0.242 307.5 -12.3 3.8
0.359 1.74 -0.242 322.5 -10.1 4.0
0.359 1.74 -0.242 337.5 -8.58 4.2
0.359 1.74 -0.242 352.5 -0.411 4.4
0.359 1.74 -0.302 7.5 2.63 4.6
0.359 1.74 -0.302 22.5 13.5 4.3
0.359 1.74 -0.302 37.5 8.49 3.9
0.359 1.74 -0.302 52.5 11.6 3.6
0.359 1.74 -0.302 67.5 12 3.3
0.359 1.74 -0.302 82.5 10.8 3.1
0.359 1.74 -0.302 97.5 9.13 3.0
 0.359 1.74 -0.302 112.5 6.34 2.8
0.359 1.74 -0.302 127.5 0.153 2.8
0.359 1.74 -0.302 142.5 1.4 2.9
0.359 1.74 -0.302 157.5 2.82 3.1
0.359 1.74 -0.302 172.5 0.368 3.2
0.359 1.74 -0.302 187.5 -0.952 3.2
0.359 1.74 -0.302 202.5 -5.16 3.0
0.359 1.74 -0.302 217.5 -3.44 2.9
0.359 1.74 -0.302 232.5 -1.67 2.8
0.359 1.74 -0.302 247.5 -5.97 2.9
0.359 1.74 -0.302 262.5 -5.82 3.0
0.359 1.74 -0.302 277.5 -7.95 3.2
0.359 1.74 -0.302 292.5 -5.61 3.4
0.359 1.74 -0.302 307.5 -9.7 3.6
0.359 1.74 -0.302 322.5 -12.8 3.9
0.359 1.74 -0.302 337.5 -9.39 4.2
0.359 1.74 -0.302 352.5 -0.195 4.5
0.361 1.75 -0.363 7.5 1.48 5.2
0.361 1.75 -0.363 22.5 7.1 4.5
0.361 1.75 -0.363 37.5 9.94 3.8
0.361 1.75 -0.363 52.5 7.22 3.3
0.361 1.75 -0.363 67.5 10.3 3.1
0.361 1.75 -0.363 82.5 8.88 3.1
0.361 1.75 -0.363 97.5 6.22 3.1
0.361 1.75 -0.363 112.5 4.22 3.0
0.361 1.75 -0.363 127.5 -0.619 2.9
