id = 2106
editor = DM

### Pseudo EIC data obtained by using gepard fit and Salvatores errors 5% systematics for "cross section" are added
# for ep cross section for 20 x 250, b ~6
# systematic error for polarization are added to be 5%
# systematic error added to be 0.035

collaboration = EIC
process = ep2epgamma
exptype = collider
year = 2011
reference = "asi-errors-... from Salvatore"
reference2 =
reference3 =

### Scattering Process

frame = Trento

in1particle = e-
in1energy = 20.
in1energyunit = GeV
in2particle = p
in2energy = 250.
in2energyunit = GeV
in2polarizationvector = T
in2polarization = 1

out1particle = e-
out2particle = p
out3particle = gamma

# colliding 20 GeV electrons with
# 250 GeV protons

### Observable

y1name = TSA
y1namelong = transversal target spin asymmetry
y1unit = 1
y1value = column5
y1error = column6

### x-axes
x1name = tm
x1unit = GeV^2
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = xB
x3unit = 1
x3value = column3

x4name = phi
x4unit = rad
x4value = column4

table =
### Data
# tm Q2 xB phi TSA error sys and sta are added in quadrature
################################################################
0.08 4.39 0.002045 0.393 0.03753185520114306 0.06022230719329171
0.08 4.39 0.002045 1.178 0.005579194756184419 0.06021642403526696
0.08 4.39 0.002045 1.963 0.023541499891543187 0.05860386877230219
0.08 4.39 0.002045 2.749 -0.13291689160618345 0.05781036685395235
0.08 4.39 0.002045 3.534592653589793 -0.08797715007268074 0.05781036527238666
0.08 4.39 0.002045 4.319592653589793 0.02000364482478939 0.05860387370342353
0.08 4.39 0.002045 5.104592653589793 -0.009683757494131352 0.060216422575961714
0.08 4.39 0.002045 5.890592653589794 0.13570485547283723 0.06022231035955661
0.275 4.39 0.002045 0.393 0.059283160413503594 0.09100279295283334
0.275 4.39 0.002045 1.178 0.16649305568851758 0.09007783320587716
0.275 4.39 0.002045 1.963 -0.04324517547629376 0.08367365556170263
0.275 4.39 0.002045 2.749 -0.06560313686274817 0.08186182623193425
0.275 4.39 0.002045 3.534592653589793 -0.045982891081373864 0.08186182617169521
0.275 4.39 0.002045 4.319592653589793 0.0883621647046943 0.08367365635241834
0.275 4.39 0.002045 5.104592653589793 0.055930323421644314 0.0900778339573697
0.275 4.39 0.002045 5.890592653589794 0.057296805264384805 0.09100279570023947
0.65 4.39 0.002045 0.393 0.14106558110050088 0.14821978216989118
0.65 4.39 0.002045 1.178 -0.026567060087093725 0.14628730028747414
0.65 4.39 0.002045 1.963 -0.012694682863338969 0.14242608294429063
0.65 4.39 0.002045 2.749 0.13850630623197102 0.13371357570454367
0.65 4.39 0.002045 3.534592653589793 -0.047815909303477316 0.133713578994854
0.65 4.39 0.002045 4.319592653589793 0.3162331023602888 0.14242607523460796
0.65 4.39 0.002045 5.104592653589793 0.19085446356855218 0.1462873504851172
0.65 4.39 0.002045 5.890592653589794 0.0003379680507283808 0.148219848497166
1.1 4.39 0.002045 0.393 0.06476370242924062 0.21982297193021838
1.1 4.39 0.002045 1.178 0.1690349285398159 0.1965479736220622
1.1 4.39 0.002045 1.963 0.16329691396825724 0.17686023846234955
1.1 4.39 0.002045 2.749 0.0609643371515938 0.17577343118668853
1.1 4.39 0.002045 3.534592653589793 0.27455592684813557 0.1757734569038571
1.1 4.39 0.002045 4.319592653589793 0.2756337741010517 0.17686011202096497
1.1 4.39 0.002045 5.104592653589793 0.2031782247451246 0.1965481100269792
1.1 4.39 0.002045 5.890592653589794 -0.08877646210852894 0.2198229006591235
1.35 4.39 0.002045 0.393 -0.7519746454384552 0.3150156493616359
1.35 4.39 0.002045 1.178 0.45581969814779155 0.22835978078572022
1.35 4.39 0.002045 1.963 0.54097155773023 0.23323390690540546
1.35 4.39 0.002045 2.749 0.6379033140724726 0.2202490738943237
1.35 4.39 0.002045 3.534592653589793 0.30532232724608466 0.2202491179821168
1.35 4.39 0.002045 4.319592653589793 0.4510897345906394 0.2332337282934523
1.35 4.39 0.002045 5.104592653589793 0.783448043235506 0.22836007956721627
1.35 4.39 0.002045 5.890592653589794 0.07814112774489138 0.3150155455799954
